"","FPKM.SRR25626852","FPKM.SRR25626853","FPKM.SRR25626854","FPKM.SRR25626855","FPKM.SRR25626856","FPKM.SRR25626857"
"LOC101205457",84.866463,74.105377,87.700935,25.072075,24.208199,24.824209
"LOC101205458",81.021332,70.491478,71.630829,67.641869,66.801819,73.495888
"LOC101205459",47.6742493965517,45.5617362867265,46.1231273240435,46.9313733209731,42.0514187453944,47.4189699277279
"LOC101205461",113.37056,129.404968,87.240334,62.89584,66.54319,70.372871
"LOC101205462",5.43683287031151,7.0491518474253,6.26639692879847,8.51569378512397,7.83303222568341,8.14361018118245
"LOC101205463",0,0,0,0.17006,0,0
"LOC101205464",4.073135,5.936484,5.544208,3.376851,2.492694,2.20604
"LOC101205466",0.454277,0.417949,0.448183,14.987475,15.314272,15.20086
"LOC101205467",28.707366404,33.5767183737143,25.1981300017143,45.8128167805714,43.560208564,44.7702408074286
"LOC101205468",0,0.278174944134078,0,0,0.231329462290503,0.311289629888268
"LOC101205471",3.284772,4.08515,2.559958,8.124523,7.457893,8.326016
"LOC101205472",6.298499,6.331201,6.947698,11.985247,12.010162,12.267965
"LOC101205473",0,0,0,0,0,0
"LOC101205476",6.882363,7.992863,9.817896,11.752129,12.059775,10.363291
"LOC101205477",5.445274,4.651168,8.185378,2.270371,2.401582,2.468921
"LOC101205479",7.732878,16.365221,7.916568,10.621071,9.87552,12.282384
"LOC101205482",24.983477,22.358421,23.293549,25.268732,24.753948,26.705694
"LOC101205483",0,0,0,0,0,0
"LOC101205484",8.377251,9.998718,11.400955,13.154759,12.090562,13.009673
"LOC101205485",2.94879,3.024115,4.243642,0.323258,0.478892,0.369631
"LOC101205486",14.4205571098149,14.2884622581791,13.5144362804971,22.773924380421,22.5264713152422,26.0724497499366
"LOC101205487",120.42141,123.052292,111.811295,124.915596,128.711426,125.025291
"LOC101205489",5.73153,6.284846,4.69659,4.587257,3.607461,3.983417
"LOC101205490",1.01087201201201,1.01072637537538,1.56393524024024,3.8752435975976,4.7265544954955,4.73099587087087
"LOC101205491",0,0,0,0.208371,0.153992,0
"LOC101205492",0,0.224470324012428,0,0,0,0
"LOC101205493",5.526726,4.60101,5.696407,8.705671,8.29642,9.090053
"LOC101205494",0,0,0,0,0,0
"LOC101205495",0,0,0,0,0,0
"LOC101205496",12.603579,13.78233,12.206714,26.217863,27.947521,26.440863
"LOC101205497",15.1655555617907,15.2086049375788,17.4685236235813,16.3592244136192,18.0091489287516,16.5091492137453
"LOC101205498",22.637363,18.102028,16.529324,11.464938,10.163416,14.131555
"LOC101205499",12.545729,13.632662,16.583181,18.510048,18.611675,18.850006
"LOC101205500",2.535667,2.228257,2.940396,2.927087,2.077088,2.330113
"LOC101205501",4.835164,4.779984,5.208926,9.488492,9.388856,8.57316
"LOC101205502",1.13812523752969,1.70966671615202,0.914350629453682,1.88428096793349,1.73666280285036,1.90989152019002
"LOC101205503",0,0,0,0.494863,0.330394,0.302777
"LOC101205504",0,0,0,0,0,0
"LOC101205505",0.472603463909958,0.447703,0.400058,11.4614416388549,11.6730993912405,12.2390282329337
"LOC101205506",1.707237,2.832247,2.216084,2.625542,3.018224,2.521965
"LOC101205507",1.14005964019851,1.32022178039702,1.23203080479735,2.60348215343259,2.297562627378,2.36725327543424
"LOC101205508",10.5818681417663,8.93277179150066,9.42040412250996,9.40065854814077,9.00805065903054,8.94689735458167
"LOC101205509",0.172168814638027,0.733580420047733,0.156526377088305,0.448996422434368,0.702771964996022,0.742397580747812
"LOC101205510",2.726433,3.321441,2.831166,5.653888,4.935363,5.343975
"LOC101205512",78.786026,79.381554,80.973587,70.424042,69.075607,64.498978
"LOC101205513",0,0,0,0,0,0
"LOC101205514",5.4065129618549,4.66103372774869,4.71705642034405,12.2533144181002,11.8146289700823,12.228840961107
"LOC101205515",147.387329,124.801018,119.737648,74.733406,76.297592,76.352699
"LOC101205516",12.742867,22.916119,50.37505,33.413784,28.595892,26.584106
"LOC101205517",3.654545,2.650739,3.385224,10.931877,9.4321,10.154309
"LOC101205518",0.424379,0.234135,0.224124,2.775408,2.17022,2.683921
"LOC101205519",0.365204,0.67711,0.836285,0.860219,0.817864,0.49354
"LOC101205520",28.3604279916992,26.7864046464844,30.240597453125,34.1993374916992,31.2831065019531,30.6582746899414
"LOC101205521",128.986065059072,135.417789550211,158.853034222785,103.023200468354,112.98121355443,88.5887715822785
"LOC101205522",21.208817,19.482037,21.99334,9.030826,8.548096,7.482593
"LOC101205525",13.18609,12.558873,11.401787,27.467743,27.853949,27.586643
"LOC101205526",3.154358,2.329185,2.813442,4.654735,3.596524,4.652462
"LOC101205528",5.409033,6.09584,6.222237,18.218525,17.046535,17.920649
"LOC101205529",0.431755007281553,0.539186854854369,0.302003398058252,0.55693012815534,0.942832108737864,1.11843417330097
"LOC101205530",19.4101773004909,18.5989102584151,18.4337700262973,15.2423636931978,13.852914673913,14.4075031356943
"LOC101205531",1.322321,0.68943,1.25458,1.777461,1.97896,1.756083
"LOC101205532",2.0457709029703,2.10562502178218,1.80536435247525,1.82520182574257,2.0000192039604,1.42525118019802
"LOC101205533",24.161215,25.365591,24.859573,9.267798,11.415782,7.87487
"LOC101205534",23.5832742282939,21.4213041797207,20.8439165500911,27.5352643576199,28.7369644705525,28.1305257656345
"LOC101205535",22.331848,19.903053,22.19524,21.741936,22.709553,20.304304
"LOC101205537",0,0,0,1.761252,1.702259,1.292794
"LOC101205538",17.6680960062857,18.339261708,20.786622708,15.6574191822857,15.988473632,14.1835421697143
"LOC101205539",16.056667,17.280474,20.755102,47.900726,48.748211,49.128269
"LOC101205540",9.45702977132761,9.96991678091873,10.4814071479051,24.0768991933367,25.648803883897,21.8702023205452
"LOC101205541",0.520942,1.057469,0.713066,1.143017,1.781758,1.540621
"LOC101205542",50.058285,49.312683,47.369946,50.22295,49.338459,53.800758
"LOC101205543",0.355243853721444,0.303737785556374,0.306983968312454,0.887285034266765,1.11243623470892,0.883828251658069
"LOC101205546",9.08535157694341,8.40997813379165,9.91143299629826,10.4645444251719,11.0068452966684,10.4995119693284
"LOC101205548",12.9262678656871,13.5447724112169,12.7093473683775,24.7632678427152,23.4870501984685,25.6715195252483
"LOC101205549",45.312520296861,42.3069837910314,39.6087084986547,30.9315563412556,29.7906173605381,31.4270726363229
"LOC101205550",2.86721841518152,3.34770393267327,5.19291242310231,13.1052864772277,14.017189450165,11.3218063887789
"LOC101205551",32.5382,34.727245,33.286449,33.318737,36.606209,32.870895
"LOC101205552",24.752766,25.790503,26.889292,20.670702,19.6833,20.826448
"LOC101205553",2.040011,2.463486,2.317664,10.982415,11.81133,9.90074
"LOC101205554",0,0,0,0,0,0.130491
"LOC101205555",5.821347,5.500638,4.992088,9.49286,10.259499,9.612004
"LOC101205556",9.41723373283396,11.0794157927591,10.2782555143571,15.2125032259675,18.1649375917603,16.2102097765293
"LOC101205557",0.432650286555447,0.959202581943081,0.422393512266928,3.63224673405299,3.85581773110893,3.9347482423945
"LOC101205558",2.394985,3.325279,2.446399,7.101995,8.23145,7.137517
